Data Table for Total Cases - The United States
Date generated: Thu Nov 11 2021 10:08:41 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases
United States,Apr 24 2021,31929895
United States,Apr 23 2021,31878889
United States,Apr 22 2021,31814677
United States,Apr 21 2021,31753247
United States,Apr 20 2021,31689252
United States,Apr 19 2021,31628519
United States,Apr 18 2021,31592680
United States,Apr 17 2021,31544544
United States,Apr 16 2021,31467298
United States,Apr 15 2021,31396444
United States,Apr 14 2021,31322066
United States,Apr 13 2021,31249391
United States,Apr 12 2021,31175201
United States,Apr 11 2021,31112873
United States,Apr 10 2021,31060379
United States,Apr  9 2021,30992344
United States,Apr  8 2021,30913513
United States,Apr  7 2021,30838072
United States,Apr  6 2021,30759843
United States,Apr  5 2021,30694382
United States,Apr  4 2021,30637389
United States,Apr  3 2021,30593284
United States,Apr  2 2021,30528657
United States,Apr  1 2021,30459427
United States,Mar 31 2021,30385240
United States,Mar 30 2021,30313593
United States,Mar 29 2021,30250128
United States,Mar 28 2021,30192072
United States,Mar 27 2021,30139836
United States,Mar 26 2021,30077035
United States,Mar 25 2021,30000497
United States,Mar 24 2021,29934192
United States,Mar 23 2021,29866743
United States,Mar 22 2021,29807244
United States,Mar 21 2021,29758287
United States,Mar 20 2021,29713847
United States,Mar 19 2021,29655994
United States,Mar 18 2021,29594180
United States,Mar 17 2021,29531178
United States,Mar 16 2021,29469071
United States,Mar 15 2021,29415840
United States,Mar 14 2021,29372195
United States,Mar 13 2021,29325299
United States,Mar 12 2021,29272438
United States,Mar 11 2021,29209654
United States,Mar 10 2021,29149457
United States,Mar  9 2021,29087626
United States,Mar  8 2021,29032114
United States,Mar  7 2021,28988841
United States,Mar  6 2021,28945888
United States,Mar  5 2021,28889039
United States,Mar  4 2021,28825278
United States,Mar  3 2021,28760181
United States,Mar  2 2021,28694451
United States,Mar  1 2021,28638220
United States,Feb 28 2021,28586707
United States,Feb 27 2021,28536035
United States,Feb 26 2021,28468617
United States,Feb 25 2021,28395550
United States,Feb 24 2021,28324568
United States,Feb 23 2021,28251661
United States,Feb 22 2021,28179865
United States,Feb 21 2021,28123085
United States,Feb 20 2021,28068376
United States,Feb 19 2021,28002547
United States,Feb 18 2021,27930719
United States,Feb 17 2021,27862163
United States,Feb 16 2021,27796914
United States,Feb 15 2021,27738049
United States,Feb 14 2021,27680414
United States,Feb 13 2021,27615199
United States,Feb 12 2021,27531449
United States,Feb 11 2021,27434083
United States,Feb 10 2021,27335979
United States,Feb  9 2021,27236860
United States,Feb  8 2021,27143108
United States,Feb  7 2021,27060641
United States,Feb  6 2021,26971146
United States,Feb  5 2021,26863314
United States,Feb  4 2021,26738658
United States,Feb  3 2021,26614670
United States,Feb  2 2021,26504144
United States,Feb  1 2021,26386203
United States,Jan 31 2021,26257749
United States,Jan 30 2021,26148110
United States,Jan 29 2021,26012789
United States,Jan 28 2021,25848934
United States,Jan 27 2021,25692667
United States,Jan 26 2021,25532663
United States,Jan 25 2021,25381556
United States,Jan 24 2021,25247331
United States,Jan 23 2021,25106617
United States,Jan 22 2021,24943636
United States,Jan 21 2021,24754623
United States,Jan 20 2021,24565995
United States,Jan 19 2021,24375218
United States,Jan 18 2021,24220180
United States,Jan 17 2021,24069647
United States,Jan 16 2021,23890148
United States,Jan 15 2021,23678526
United States,Jan 14 2021,23440869
United States,Jan 13 2021,23216688
United States,Jan 12 2021,22986991
United States,Jan 11 2021,22761933
United States,Jan 10 2021,22558302
United States,Jan  9 2021,22339720
United States,Jan  8 2021,22087459
United States,Jan  7 2021,21794921
United States,Jan  6 2021,21524980
United States,Jan  5 2021,21263483
United States,Jan  4 2021,21008825
United States,Jan  3 2021,20833362
United States,Jan  2 2021,20628414
United States,Jan  1 2021,20406374
United States,Dec 31 2020,20180552
United States,Dec 30 2020,19950364
United States,Dec 29 2020,19708005
United States,Dec 28 2020,19489326
United States,Dec 27 2020,19308600
United States,Dec 26 2020,19153346
United States,Dec 25 2020,19006737
United States,Dec 24 2020,18850431
United States,Dec 23 2020,18649180
United States,Dec 22 2020,18420694
United States,Dec 21 2020,18216884
United States,Dec 20 2020,18033891
United States,Dec 19 2020,17848354
United States,Dec 18 2020,17646616
United States,Dec 17 2020,17410883
United States,Dec 16 2020,17163550
United States,Dec 15 2020,16919964
United States,Dec 14 2020,16715815
United States,Dec 13 2020,16518035
United States,Dec 12 2020,16339752
United States,Dec 11 2020,16124283
United States,Dec 10 2020,15876533
United States,Dec  9 2020,15667055
United States,Dec  8 2020,15444548
United States,Dec  7 2020,15214252
United States,Dec  6 2020,15028893
United States,Dec  5 2020,14854315
United States,Dec  4 2020,14649963
United States,Dec  3 2020,14423975
United States,Dec  2 2020,14204570
United States,Dec  1 2020,13990375
United States,Nov 30 2020,13792636
United States,Nov 29 2020,13637520
United States,Nov 28 2020,13497230
United States,Nov 27 2020,13352261
United States,Nov 26 2020,13190195
United States,Nov 25 2020,13046573
